09 Nov 2013 11:01:19,579 | main |  |  | SERV_352648560413 | Metric | Start|1384012878282|Stop|1384012879579|Duration|1297|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:20,094 | main |  |  | SERV_352648560413 | Metric | Start|1384012880063|Stop|1384012880094|Duration|31|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:20,391 | main |  |  | SERV_352648560413 | Metric | Start|1384012880375|Stop|1384012880391|Duration|16|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:20,610 | main |  |  | SERV_352648560413 | Metric | Start|1384012880563|Stop|1384012880610|Duration|47|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:20,829 | main |  |  | SERV_352648560413 | Metric | Start|1384012880782|Stop|1384012880829|Duration|47|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:21,000 | main |  |  | SERV_352648560413 | Metric | Start|1384012880954|Stop|1384012881000|Duration|46|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:21,188 | main |  |  | SERV_352648560413 | Metric | Start|1384012881157|Stop|1384012881188|Duration|31|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:21,422 | main |  |  | SERV_352648560413 | Metric | Start|1384012881391|Stop|1384012881422|Duration|31|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:21,625 | main |  |  | SERV_352648560413 | Metric | Start|1384012881579|Stop|1384012881625|Duration|46|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:21,844 | main |  |  | SERV_352648560413 | Metric | Start|1384012881813|Stop|1384012881844|Duration|31|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:22,219 | main |  |  | SERV_352648560413 | Metric | Start|1384012882188|Stop|1384012882219|Duration|31|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:22,391 | main |  |  | SERV_352648560413 | Metric | Start|1384012882375|Stop|1384012882391|Duration|16|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:22,579 | main |  |  | SERV_352648560413 | Metric | Start|1384012882563|Stop|1384012882579|Duration|16|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
